ifInOctets11,ifInUcastPkts11,ifInNUcastPkts11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpOutSegs,tcpRetransSegs,udpOutDatagrams,udpNoPorts,ipInReceives,ipInDelivers,ipForwDatagrams,icmpInDestUnreachs,icmpOutDestUnreachs,class
116577553,107931,0,51926,0,357,31591,149,21172,39,97199,97196,0,230,34,slowloris
116591687,108019,0,52006,0,357,31621,149,21226,39,97282,97279,0,230,34,slowloris
116607116,108111,0,52097,0,357,31649,149,21317,39,97399,97396,0,230,34,slowloris
116613372,108166,0,52142,0,357,31666,149,21369,39,97467,97464,0,230,34,slowloris
116647832,108289,0,52259,0,615424,1261845,149,21470,39,2053626,2053623,0,230,34,httpFlood
116656695,108351,0,52326,0,1324170,2679355,149,21575,39,4175149,4175146,0,230,34,httpFlood
116680459,108452,0,52417,0,1563271,3157571,149,21653,39,4786572,4786569,0,230,34,httpFlood
116688356,108532,0,52473,0,1563271,3157594,149,21716,494163,5799937,5799933,0,534747,534551,normal
116706142,108612,0,52537,0,1563271,3157610,149,21794,1224013,7266350,7266347,0,1258920,1258725,normal
116712943,108674,0,52599,0,1563271,3157633,151,21859,1370241,7967402,7967399,0,1370432,1370236,normal
116717653,108718,0,52638,0,1563271,3157649,151,21912,1370241,9430480,9430477,0,1370432,1370236,httpFlood
116748796,108854,0,52748,0,1563271,3157679,151,22020,1370241,10882173,10882170,0,1370432,1370236,httpFlood
116754551,108909,0,52801,0,1563271,3157702,151,22089,1370241,12342628,12342625,0,1370432,1370236,httpFlood
116760576,108968,0,52845,0,1563271,3157714,151,22140,1370241,13607838,13607835,0,1370432,1370236,httpFlood
116773856,109040,0,52913,0,1563271,3157739,151,22218,1370241,17054027,17054024,0,1370432,1370236,httpFlood
116780631,109092,0,52963,0,1563271,3157763,151,22283,1370241,20462183,20462180,0,1370432,1370236,httpFlood
116805505,109194,0,53051,0,1563271,3157782,151,22370,1370241,23243951,23243948,0,1370432,1370236,httpFlood
116815225,109254,0,53137,0,1563271,3157812,151,22462,1370241,23244076,23244073,0,1370432,1370236,slowloris
116843419,109365,0,53208,0,1563271,4838300,151,22550,1370241,23244167,23244164,0,1370432,1370236,slowloris
116854933,109446,0,53279,0,1563271,6158734,151,22634,1370241,23244283,23244280,0,1370432,1370236,slowloris
116867426,109528,0,53337,0,1563271,7159053,152,22688,1370241,23244357,23244354,0,1370432,1370236,slowloris
116888512,109621,0,53402,0,1563271,7161277,152,22784,1370241,23244464,23244461,0,1370432,1370236,slowloris
116902659,109713,0,53474,0,1563271,7165527,643,22872,1370241,23244574,23244571,0,1370432,1370236,slowloris
116909722,109767,0,53522,0,1563273,7169582,880,22926,1370241,23244643,23244640,0,1370432,1370236,slowloris
116922387,109831,0,53583,0,1563273,7171015,920,22987,1370241,23244731,23244728,0,1370432,1370236,slowloris
116928351,109886,0,53635,0,1563281,7174728,920,23044,1370241,23244819,23244816,0,1370432,1370236,slowloris
116946909,109983,0,53793,0,1563489,7183276,922,23245,1370241,23253052,23253049,0,1370432,1370236,slowloris
116959753,110047,0,53977,0,1563489,7185334,929,23398,1370241,23254952,23254949,0,1370432,1370236,slowloris
116976198,110123,0,54048,0,1564404,7188394,929,23484,1370241,23258098,23258095,0,1370432,1370236,slowloris
116996749,110204,0,54150,0,1564404,7188428,929,23589,1370241,23258211,23258208,0,1370432,1370236,slowloris
117031253,110344,0,54283,0,1564404,7188520,930,23659,1370241,23258370,23258367,0,1370432,1370236,slowloris
117077016,110492,0,54419,0,1564404,7188565,932,23762,1370241,23258511,23258508,0,1370432,1370236,slowloris
117081112,110526,0,54456,0,1564404,7188583,933,23807,1370241,23258578,23258575,0,1370432,1370236,slowloris
117115598,110606,0,54530,0,1564404,7188608,933,23889,1370241,23258683,23258680,0,1370432,1370236,slowloris
117123989,110680,0,54593,0,1564404,7188645,934,23941,1370241,23258771,23258768,0,1370432,1370236,slowloris
117128491,110727,0,54636,0,1564404,7188670,934,24035,1370241,23258897,23258894,0,1370432,1370236,slowloris
117470087,111159,0,54897,0,1564404,7188719,935,24226,1370241,23259294,23259291,0,1370432,1370236,slowloris
117482804,111212,0,55072,0,1564404,7188756,935,24411,1370241,23259374,23259371,0,1370432,1370236,slowloris
117485210,111257,0,55194,0,1564404,7188773,935,24527,1370241,23259444,23259441,0,1370432,1370236,slowloris
117504020,111320,0,55234,0,1564405,7188818,936,24576,1370241,23259550,23259547,0,1370432,1370236,slowloris
117610089,111535,0,55365,0,1564405,7188843,936,24690,1370241,23259726,23259723,0,1370432,1370236,slowloris
587955984,3982521,0,1761708,0,5594876,7042457,3174,337780,7944403,37923401,37920363,0,7944397,7944407,slowloris
587959520,3982556,0,1761745,0,5594877,7042489,3174,337820,7944403,37923471,37920433,0,7944397,7944407,slowloris
587968236,3982610,0,1803850,0,5596951,7312712,4196,337881,7944403,38251455,38248416,0,7944397,7944407,slowloris
587970798,3982630,0,2327300,0,5603567,8156610,5528,337936,7944403,39106971,39103933,0,7944400,7944407,slowloris
